14.0,5634
19.0,5481
18.0,5003
1.0,4156
13.0,3852
17.0,2776
0.0,2061
114.0,1986
109.0,1821
20.0,1730
10.0,1700
66.0,1590
6.0,1568
84.0,1469
115.0,1383
9.0,1362
112.0,1326
70.0,1325
5.0,1291
108.0,1247
61.0,1188
24.0,1145
103.0,1089
90.0,1069
52.0,1051
46.0,966
23.0,898
43.0,893
104.0,889
110.0,884
62.0,842
34.0,834
7.0,790
102.0,776
28.0,732
68.0,727
49.0,707
33.0,692
107.0,661
44.0,654
40.0,617
47.0,613
48.0,607
78.0,603
106.0,576
79.0,569
94.0,533
88.0,520
45.0,514
72.0,511
67.0,507
25.0,456
63.0,441
77.0,435
26.0,434
50.0,410
71.0,393
105.0,387
60.0,367
83.0,354
120.0,340
75.0,340
111.0,331
30.0,331
32.0,324
41.0,285
42.0,227
113.0,215
122.0,210
76.0,209
73.0,207
69.0,185
81.0,173
121.0,157
100.0,131
101.0,102
123.0,68
401.0,38
27.0,8
16.0,4
22.0,3
15.0,3
407.0,2
2.0,2
56.0,2
12.0,2
65.0,1
125.0,1
89.0,1
74.0,1
8.0,1
472.0,1
